continent;country;domain;size_bytes;height_px;width_px
Nordamerika;Mexiko;serviciosdigitales.imss.gob.mx;81569;1080;1920
Europa;Spanien;jysk.es;615756;1080;1920
Europa;UK;secure.lloydsbank.co.uk;34421;1080;1920
Europa;Schweden;journalen.1177.se;62979;1080;1920
Europa;Polen;gm.efortuna.pl;354593;1080;1920
Europa;Spanien;sede.administracionespublicas.gob.es;309601;1080;1920
Ozeanien;Tuvalu;yummyanime.tv;1841295;1080;1920
Europa;Schweden;marcusoscarsson.se;556133;1080;1920
Asien;Philippinen;bet88.ph;56512;1080;1920
Nordamerika;Honduras;campusvirtual.unah.edu.hn;212744;1080;1920
Europa;UK;m.shein.co.uk;656449;1080;1920
Nordamerika;Mexiko;m.shein.com.mx;634980;1080;1920
Nordamerika;USA;stake.us;56041;1080;1920
Afrika;Südafrika;efundi.nwu.ac.za;56493;1080;1920
